Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
2,L0001,158362.43,157249.14,0.00,274277.20,125383.86,148893.34,1175.47,38907004.13,CURRENT,0,PERFORMING,0.00
2,L0002,145709.76,144685.42,0.00,239992.55,109710.88,130281.67,1028.54,34043628.61,CURRENT,0,PERFORMING,0.00
2,L0003,132240.79,131311.14,0.00,205707.90,94037.90,111670.00,881.61,29180253.09,CURRENT,0,PERFORMING,0.00
2,L0004,113139.34,112343.97,0.00,191994.04,87768.70,104225.34,822.83,27234902.89,CURRENT,0,PERFORMING,0.00
2,L0005,95048.07,126569.81,31521.74,29621.94,29621.94,0.00,3967.22,26414569.18,DELINQUENT,30,PERFORMING,0.00
2,L0006,103058.02,102333.53,0.00,171423.24,78364.91,93058.33,734.67,24316877.59,CURRENT,0,PERFORMING,0.00
2,L0007,98568.37,97875.43,0.00,157709.39,72095.72,85613.67,675.90,22371527.37,CURRENT,0,PERFORMING,0.00
2,L0008,75916.01,75382.32,0.00,137138.60,62691.93,74446.67,587.74,19453502.06,CURRENT,0,PERFORMING,0.00
2,L0009,56814.56,56415.16,0.00,82283.16,37615.16,44668.00,352.64,11672101.24,CURRENT,0,PERFORMING,0.00
2,L0010,39998.76,39717.57,0.00,68569.30,31345.97,37223.33,293.87,9726751.03,CURRENT,0,PERFORMING,0.00
