Period,Date,Bond.ClassA.Balance,Bond.ClassB.Balance,Fund.IAF.Balance,Fund.PAF.Balance,Fund.RESERVE.Balance,Ledger.CumulativeLoss,Ledger.CumulativePrepayment,Var.RealizedLoss,Var.ServicingFeeRate,Var.SeniorFeeAmount,Var.ClassA_IntDue,Var.ClassB_IntDue,Var.DelinqTrigger,Bond.ClassA.Prin_Paid,Bond.ClassB.Prin_Paid
1,2024-02-29,8897706.756988699,1000000.0,0.0,0.0,12500.0,0.0,0.0,3348.7094364823556,0.00020833333333333335,1875.0000000000002,37500.0,6666.666666666667,False,0.0,0.0
2,2024-03-30,8796435.151866838,1000000.0,0.0,0.0,20000.0,0.0,0.0,3313.3330161773247,0.00020833333333333335,1853.688907705979,37073.77815411958,6666.666666666667,False,101271.60512186028,-0.0
3,2024-04-29,8696175.209560454,1000000.0,5630.385747625744,0.0,20000.0,0.0,0.0,3278.3105592516476,0.00020833333333333335,1832.5906566389249,36651.813132778494,6666.666666666667,False,100259.94230638444,-0.0
4,2024-05-29,8596917.051379457,1000000.0,11160.829990533242,0.0,20000.0,0.0,0.0,3243.6386068108427,0.00020833333333333335,1811.703168658428,36234.06337316856,6666.666666666667,False,99258.15818099678,-0.0
5,2024-06-28,8498650.89409091,1000000.0,16592.34090858918,0.0,20000.0,0.0,0.0,3209.31373339487,0.00020833333333333335,1791.0243857040537,35820.48771408107,6666.666666666667,False,98266.1572885476,-0.0
6,2024-07-28,8401367.049001183,1000000.0,21925.916793571025,0.0,20000.0,0.0,0.0,3175.332546656602,0.00020833333333333335,1770.5522696022729,35411.04539204545,6666.666666666667,False,97283.84508972615,-0.0
7,2024-08-27,8305055.92104693,1000000.0,27162.546144911477,0.0,20000.0,0.0,0.0,3141.6916870433815,0.00020833333333333335,1750.2848018752466,35005.69603750493,6666.666666666667,False,96311.127954253,-0.0
8,2024-09-26,8209708.007894762,1000000.0,32303.207764521507,0.0,20000.0,0.0,0.0,3108.387827481623,0.00020833333333333335,1730.2199835514439,34604.39967102888,6666.666666666667,False,95347.9131521685,-0.0
9,2024-10-26,8115313.899049576,1000000.0,37348.87085070066,0.0,20000.0,0.0,0.0,3075.4176730644526,0.00020833333333333335,1710.3558349780756,34207.116699561506,6666.666666666667,False,94394.10884518549,-0.0
10,2024-11-25,8021864.274971433,1000000.0,42300.4950911435,0.0,20000.0,0.0,0.0,3042.77796074234,0.00020833333333333335,1690.6903956353285,33813.807912706565,6666.666666666667,False,93449.62407814339,-0.0
11,2024-12-25,7929349.9062009,1000000.0,47159.030755050844,0.0,20000.0,0.0,0.0,3010.4654590166933,0.00020833333333333335,1671.221723952382,33424.43447904764,6666.666666666667,False,92514.36877053324,-0.0
