Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
4,L0001,156080.78,154858.67,0.00,301219.82,139024.53,162195.29,1158.54,38315546.73,CURRENT,0,STRESSED,0.00
4,L0002,143610.41,142485.94,0.00,263567.33,121646.46,141920.87,1013.72,33526103.40,CURRENT,0,STRESSED,0.00
4,L0003,0.00,130786.42,130786.42,0.00,0.00,0.00,58243.79,29063648.79,DEFAULT,120,STRESSED,0.00
4,L0004,111509.26,110636.14,0.00,210853.87,97317.17,113536.70,810.98,26820882.71,CURRENT,0,STRESSED,0.00
4,L0005,94818.19,126246.00,31427.81,33244.08,33244.08,0.00,3957.63,26346990.72,DELINQUENT,30,STRESSED,0.00
4,L0006,101573.19,100777.87,0.00,188262.38,86890.33,101372.05,724.09,23947216.72,CURRENT,0,STRESSED,0.00
4,L0007,97148.22,96387.55,0.00,173201.39,79939.10,93262.29,666.16,22031439.37,CURRENT,0,STRESSED,0.00
4,L0008,74822.23,74236.37,0.00,150609.91,69512.27,81097.64,579.27,19157773.35,CURRENT,0,STRESSED,0.00
4,L0009,0.00,56178.96,56178.96,2098.86,2098.86,0.00,34980.94,11623232.62,DELINQUENT,120,STRESSED,0.00
4,L0010,39422.47,39113.79,0.00,75304.95,34756.13,40548.82,289.63,9578886.70,CURRENT,0,STRESSED,0.00
