Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
1,F17Q10000051,531.6666666666666,531.6666666666666,0.0,0.0,0.0,0.0,0.0,176000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10000374,447.0833333333333,447.0833333333333,0.0,0.0,0.0,0.0,0.0,148000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10000394,282.7083333333333,282.7083333333333,0.0,0.0,0.0,0.0,0.0,118000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10000598,403.3333333333333,403.3333333333333,0.0,0.0,0.0,0.0,0.0,121000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10000925,1326.875,1326.875,0.0,0.0,0.0,0.0,0.0,386000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10000973,493.3333333333333,493.3333333333333,0.0,0.0,0.0,0.0,0.0,148000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001050,726.0416666666666,726.0416666666666,0.0,0.0,0.0,0.0,0.0,205000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001064,125.9375,125.9375,0.0,0.0,0.0,0.0,0.0,39000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001138,701.25,701.25,0.0,0.0,0.0,0.0,0.0,204000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001158,768.5416666666666,768.5416666666666,0.0,0.0,0.0,0.0,0.0,238000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001196,495.8333333333333,495.8333333333333,0.0,0.0,0.0,0.0,0.0,136000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001335,388.4375,388.4375,0.0,0.0,0.0,0.0,0.0,113000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001467,468.75,468.75,0.0,0.0,0.0,0.0,0.0,150000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001590,1117.1875,1117.1875,0.0,0.0,0.0,0.0,0.0,325000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001653,720.0,720.0,0.0,0.0,0.0,0.0,0.0,216000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001718,1316.5625,1316.5625,0.0,0.0,0.0,0.0,0.0,383000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10001862,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,320000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10002163,1020.0,1020.0,0.0,0.0,0.0,0.0,0.0,288000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10002995,376.25,376.25,0.0,0.0,0.0,0.0,0.0,105000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10003349,590.625,590.625,0.0,0.0,0.0,0.0,0.0,162000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10004632,1106.25,1106.25,0.0,0.0,0.0,0.0,0.0,354000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10005435,946.5625,946.5625,0.0,0.0,0.0,0.0,0.0,233000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10005555,790.3125,790.3125,0.0,0.0,0.0,0.0,0.0,281000.0,CURRENT,0,PERFORMING,0.0
1,F17Q10006017,798.9583333333334,798.9583333333334,0.0,0.0,0.0,0.0,0.0,295000.0,CURRENT,0,PERFORMING,0.0
