Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
1,L0001,159403.33,158362.43,0.0,256360.0,118320.0,138040.0,1183.2,39182456.8,CURRENT,0,PERFORMING,0.0
1,L0002,146667.5,145709.76,0.0,224315.0,103530.0,120785.0,1035.3,34284649.7,CURRENT,0,PERFORMING,0.0
1,L0003,133110.0,132240.79,0.0,192270.0,88740.0,103530.0,887.4,29386842.6,CURRENT,0,PERFORMING,0.0
1,L0004,113883.0,113139.34,0.0,179452.0,82824.0,96628.0,828.24,27427719.76,CURRENT,0,PERFORMING,0.0
1,L0005,127563.75,126730.76,0.0,173043.0,79866.0,93177.0,798.66,26448158.34,CURRENT,0,PERFORMING,0.0
1,L0006,103735.42,103058.02,0.0,160225.0,73950.0,86275.0,739.5,24489035.5,CURRENT,0,PERFORMING,0.0
1,L0007,99216.25,98568.37,0.0,147407.0,68034.0,79373.0,680.34,22529912.66,CURRENT,0,PERFORMING,0.0
1,L0008,76415.0,75916.01,0.0,128180.0,59160.0,69020.0,591.6,19591228.4,CURRENT,0,PERFORMING,0.0
1,L0009,57188.0,56814.56,0.0,76908.0,35496.0,41412.0,354.96,11754737.04,CURRENT,0,PERFORMING,0.0
1,L0010,40261.67,39998.76,0.0,64090.0,29580.0,34510.0,295.8,9795614.2,CURRENT,0,PERFORMING,0.0
