Period,Date,BeginningBalance,InterestCollected,ScheduledPrincipal,Prepayments,Defaults,Recovery,RealizedLoss,EndingBalance,CPR,CDR,Severity,Delinq30,Delinq60,Delinq90Plus,Delinq60Plus,BondPayments
1,2024-02-25,500000000.00,2812500.00,658333.33,3166666.67,208333.33,0.00,0.00,495966666.67,0.076,0.005,0.00,0.012,0.003,0.001,0.004,0
2,2024-03-25,495966666.67,2789813.00,652750.00,3146833.33,206638.89,66666.67,141666.67,491960444.45,0.076,0.005,0.34,0.014,0.004,0.001,0.005,0
3,2024-04-25,491960444.45,2767278.00,647181.67,3122232.22,204983.52,69444.44,135538.08,488085069.05,0.076,0.005,0.34,0.015,0.005,0.002,0.007,0
4,2024-05-25,488085069.05,2745478.00,641629.97,3097702.09,203368.78,72314.81,131054.97,484235682.22,0.076,0.005,0.34,0.016,0.005,0.002,0.007,0
5,2024-06-25,484235682.22,2723842.00,636094.84,3073246.83,201764.87,75269.61,126495.26,480411576.06,0.076,0.005,0.34,0.017,0.006,0.002,0.008,0
6,2024-07-25,480411576.06,2702315.00,630576.42,3048868.23,200171.49,78305.79,121865.70,476612960.58,0.076,0.005,0.34,0.018,0.006,0.003,0.009,0
7,2024-08-25,476612960.58,2680893.00,625074.83,3024567.10,198588.73,81417.52,117171.21,472839730.91,0.076,0.005,0.34,0.018,0.007,0.003,0.010,0
8,2024-09-25,472839730.91,2659577.00,619590.17,3000344.22,197016.56,84609.42,112407.14,469091780.96,0.076,0.005,0.34,0.019,0.007,0.003,0.010,0
9,2024-10-25,469091780.96,2638366.00,614122.56,2976200.37,195455.00,87887.80,107567.20,465368857.03,0.076,0.005,0.34,0.019,0.008,0.003,0.011,0
10,2024-11-25,465368857.03,2617261.00,608672.11,2952136.32,193904.02,91256.93,102647.09,461670951.08,0.076,0.005,0.34,0.020,0.008,0.004,0.012,0
11,2024-12-25,461670951.08,2596261.00,603238.95,2928152.85,192363.63,94720.01,97643.63,457997997.66,0.076,0.005,0.34,0.020,0.008,0.004,0.012,0
12,2025-01-25,457997997.66,2575367.00,597823.18,2904250.74,190833.83,98280.22,92553.62,454349983.08,0.076,0.005,0.34,0.021,0.009,0.004,0.013,0
